#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 05 09 18 50 131  3.5  3.9  0.10 99.00  3.29 999 1014.6   2.8   2.8 999.0 99.0 99.00
2017 05 09 19 50  80  3.4  3.9  0.08 99.00  3.25 999 1014.5   2.7   2.8 999.0 99.0 99.00
2017 05 09 20 50  95  4.0  4.5  0.08 99.00  3.44 999 1013.7   3.0   2.8 999.0 99.0 99.00
2017 05 09 21 50  74  4.3  5.0  0.08 99.00  3.22 999 1013.4   3.1   2.8 999.0 99.0 99.00
2017 05 09 22 50  75  5.5  6.3  0.09 99.00  2.56 999 1013.0   3.1   2.8 999.0 99.0 99.00
2017 05 09 23 50  81  5.8  6.8  0.20 99.00  2.41 999 1012.9   2.9   2.8 999.0 99.0 99.00
2017 05 10 00 50  91  6.4  7.3  0.31  2.74  2.62  95 1012.7   3.0   2.7 999.0 99.0 99.00
2017 05 10 01 50  88  6.2  7.3  0.40  2.86  2.82  90 1012.6   3.2   2.7 999.0 99.0 99.00
2017 05 10 02 50  92  7.2  8.1  0.50  3.13  3.00 100 1012.4   3.7   2.7 999.0 99.0 99.00
2017 05 10 03 50  98  5.9  6.5  0.51  3.57  3.13  95 1012.2   3.7   2.7 999.0 99.0 99.00
2017 05 10 04 50 104  7.5  8.8  0.55  3.57  3.18  92 1011.4   4.4   2.7 999.0 99.0 99.00
2017 05 10 05 50 113  6.6  7.9  0.57  3.57  3.23 101 1011.7   4.8   2.7 999.0 99.0 99.00
2017 05 10 06 50 124  7.3  8.5  0.68  3.70  3.33 122 1011.6   4.3   2.7 999.0 99.0 99.00
2017 05 10 07 50 132  7.8  9.1  0.71  3.57  3.33 127 1011.7   4.3   2.7 999.0 99.0 99.00
2017 05 10 08 50 137  8.5  9.9  0.84  3.85  3.56 141 1011.9   4.2   2.7 999.0 99.0 99.00
2017 05 10 09 50 145  7.9  9.2  0.82  4.00  3.59 131 1012.3   4.2   2.6 999.0 99.0 99.00
2017 05 10 10 50 155  6.6  7.7  0.78  4.35  3.57 139 1012.7   4.1   2.6 999.0 99.0 99.00
2017 05 10 11 50 157  6.3  9.2  0.84  4.35  3.84 152 1013.1   4.1   2.6 999.0 99.0 99.00
2017 05 10 12 50 137  5.4  5.9  0.88  4.35  3.94 161 1013.4   3.8   2.6 999.0 99.0 99.00
2017 05 10 13 50 144  4.5  5.0  0.74  4.55  3.78 186 1013.9   3.7   2.7 999.0 99.0 99.00
2017 05 10 14 50 111  4.2  4.6  0.75  4.35  3.84 136 1014.0   3.6   2.7 999.0 99.0 99.00
2017 05 10 15 50 114  5.4  6.1  0.68  4.76  3.86 116 1014.5   3.5   2.7 999.0 99.0 99.00
2017 05 10 16 50 115  4.6  5.3  0.63  4.35  3.70 115 1014.6   4.0   2.8 999.0 99.0 99.00
2017 05 10 17 50 104  5.1  5.6  0.64  4.35  3.78 111 1014.2   4.0   2.8 999.0 99.0 99.00
2017 05 10 18 50 103  5.5  6.4  0.63  4.35  3.75 105 1014.2   4.7   2.8 999.0 99.0 99.00
2017 05 10 19 50  90  5.8  6.6  0.57  4.76  3.65  94 1013.7   4.1   2.8 999.0 99.0 99.00
2017 05 10 20 50  89  6.1  6.8  0.58  3.85  3.61 118 1013.9   4.5   2.8 999.0 99.0 99.00
2017 05 10 21 50  94  7.3  8.4  0.55  3.57  3.36 110 1013.4   5.1   2.8 999.0 99.0 99.00
2017 05 10 22 50  96  6.8  7.5  0.60  3.70  3.25  91 1013.3   5.2   2.8 999.0 99.0 99.00
2017 05 10 23 50 102  6.5  7.3  0.56  3.33  3.34 121 1013.4   5.2   2.8 999.0 99.0 99.00
2017 05 11 00 50 100  5.4  6.2  0.57  3.45  3.33 104 1013.6   5.0   2.7 999.0 99.0 99.00
2017 05 11 01 50 107  2.9  3.5  0.52  3.85  3.32 100 1014.4   5.0   2.7 999.0 99.0 99.00
2017 05 11 02 50  93  4.5  5.2  0.45  4.00  3.33  96 1014.4   5.4   2.7 999.0 99.0 99.00
2017 05 11 03 50  89  5.6  6.7  0.42  4.00  3.39 101 1014.5   5.2   2.7 999.0 99.0 99.00
2017 05 11 04 50  94  4.8  5.4  0.42  3.85  3.32 104 1014.5   4.4   2.7 999.0 99.0 99.00
2017 05 11 05 50  95  5.8  6.4  0.35  3.85  3.31 101 1014.3   4.5   2.7 999.0 99.0 99.00
2017 05 11 06 50  91  5.5  6.2  0.39  3.85  3.15  99 1014.5   4.1   2.7 999.0 99.0 99.00
2017 05 11 07 50  97  5.6  6.3  0.36  4.00  3.25  99 1014.0   4.4   2.7 999.0 99.0 99.00
2017 05 11 08 50  98  3.1  3.7  0.38  3.85  3.24 126 1014.6   4.2   2.7 999.0 99.0 99.00
2017 05 11 09 50 121  3.7  4.1  0.41  3.70  3.34 155 1014.9   4.0   2.7 999.0 99.0 99.00
2017 05 11 10 50 106  3.3  3.8  0.43  4.35  3.54 112 1015.5   3.7   2.7 999.0 99.0 99.00
2017 05 11 11 50  84  4.0  4.6  0.41  3.85  3.41  98 1015.7   3.4   2.7 999.0 99.0 99.00
2017 05 11 12 50 101  3.8  4.6  0.36  4.17  3.39 103 1015.6   3.8   2.7 999.0 99.0 99.00
2017 05 11 14 50 107  2.4  3.0  0.31  4.17  3.24 105 1016.5   3.5   2.7 999.0 99.0 99.00
2017 05 11 15 50 324  1.1  2.1  0.28  4.00  3.18 138 1017.1   3.3   2.8 999.0 99.0 99.00
2017 05 11 16 50  45  1.7  2.0  0.24 99.00  3.07 999 1016.9   3.5   2.8 999.0 99.0 99.00
2017 05 11 17 50  62  2.4  3.3  0.24 99.00  2.98 999 1017.0   3.4   2.8 999.0 99.0 99.00
2017 05 11 18 50 322  0.8  1.4  0.21 99.00  2.96 999 1017.2   3.5   2.8 999.0 99.0 99.00
2017 05 11 19 50 312  1.6  2.1  0.21 99.00  2.99 999 1017.1   3.3   2.9 999.0 99.0 99.00
2017 05 11 20 50 323  2.8  3.0  0.23 99.00  3.04 999 1017.0   3.2   2.9 999.0 99.0 99.00
2017 05 11 21 50 333  2.2  2.8  0.26  3.03  2.97 258 1016.8   3.2   2.9 999.0 99.0 99.00
2017 05 11 22 50 325  3.6  4.0  0.25  3.13  3.00 283 1016.8   3.3   2.9 999.0 99.0 99.00
2017 05 11 23 50 319  3.7  4.3  0.23 99.00  2.96 999 1016.9   3.3   2.9 999.0 99.0 99.00
2017 05 12 00 50 312  3.6  4.1  0.22 99.00  3.09 999 1017.1   3.4   2.8 999.0 99.0 99.00
