#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 05 03 16 50 163  2.4  2.6  0.08 99.00  3.47 999 1015.9   2.0   1.6 999.0 99.0 99.00
2018 05 03 17 50 170  3.2  3.8  0.07 99.00  3.47 999 1016.0   2.2   1.7 999.0 99.0 99.00
2018 05 03 18 50 150  3.7  4.2  0.07 99.00  3.42 999 1015.4   2.2   1.6 999.0 99.0 99.00
2018 05 03 19 50 101  3.1  3.6  0.07 99.00  3.38 999 1015.3   2.4   1.7 999.0 99.0 99.00
2018 05 03 20 50  87  3.1  3.4  0.06 99.00  3.34 999 1014.8   2.5   1.7 999.0 99.0 99.00
2018 05 03 21 50  87  3.5  3.9  0.07 99.00  3.46 999 1014.9   2.4   1.7 999.0 99.0 99.00
2018 05 03 22 50  79  5.1  5.7  0.06 99.00  3.52 999 1013.9   2.6   1.6 999.0 99.0 99.00
2018 05 03 23 50  96  4.8  5.4  0.09 99.00  2.44 999 1013.6   2.9   1.5 999.0 99.0 99.00
2018 05 04 00 50  85  5.1  5.8  0.15 99.00  2.36 999 1013.1   3.0   1.5 999.0 99.0 99.00
2018 05 04 01 50  89  5.8  7.3  0.21 99.00  2.43 999 1012.7   2.7   1.4 999.0 99.0 99.00
2018 05 04 02 50  87  6.4  7.6  0.28  2.60  2.57  92 1012.1   2.5   1.4 999.0 99.0 99.00
2018 05 04 03 50  89  5.7  6.6  0.40  2.94  2.82 100 1011.6   2.4   1.3 999.0 99.0 99.00
2018 05 04 04 50 100  6.1  7.0  0.38  3.13  2.95  89 1011.2   2.7   1.3 999.0 99.0 99.00
2018 05 04 05 50  74  3.8  4.2  0.42  3.23  3.03 101 1011.0   2.6   1.3 999.0 99.0 99.00
2018 05 04 06 50  74  4.1  4.6  0.39  3.13  3.02  97 1009.7   2.3   1.3 999.0 99.0 99.00
2018 05 04 07 50  73  4.7  5.2  0.36  3.13  3.00  88 1008.3   2.5   1.3 999.0 99.0 99.00
2018 05 04 08 50  73  5.5  6.3  0.38  3.45  3.03  93 1007.4   2.8   1.3 999.0 99.0 99.00
2018 05 04 09 50  87  5.1  5.7  0.32  3.13  2.93  92 1006.9   2.6   1.3 999.0 99.0 99.00
2018 05 04 10 50  88  3.7  4.3  0.32  3.13  2.90 104 1006.7   2.7   1.3 999.0 99.0 99.00
2018 05 04 11 50  95  4.5  5.5  0.30  2.94  2.87  87 1006.6   3.0   1.3 999.0 99.0 99.00
2018 05 04 12 50 109  2.6  3.3  0.27  2.94  2.78  94 1006.5   2.6   1.3 999.0 99.0 99.00
2018 05 04 13 50  92  3.2  3.7  0.22 99.00  2.81 999 1006.2   2.6   1.3 999.0 99.0 99.00
2018 05 04 14 50  96  2.4  2.8  0.25 99.00  2.82 999 1005.8   2.7   1.3 999.0 99.0 99.00
2018 05 04 15 50  89  2.7  4.0  0.23 99.00  2.92 999 1006.0   2.7   1.3 999.0 99.0 99.00
2018 05 04 16 50 190  1.4  1.7  0.21 99.00  2.88 999 1006.5   2.6   1.3 999.0 99.0 99.00
2018 05 04 17 50 203  2.4  3.1  0.17 99.00  2.76 999 1006.5   2.8   1.4 999.0 99.0 99.00
2018 05 04 18 50 242  2.7  3.2  0.13 99.00  2.78 999 1006.5   2.8   1.5 999.0 99.0 99.00
2018 05 04 19 50 312  5.7  6.8  0.19 99.00  3.46 999 1007.6   2.3   1.5 999.0 99.0 99.00
2018 05 04 20 50 298  5.2  5.9  0.30  2.60  2.86 286 1007.7   2.9   1.5 999.0 99.0 99.00
2018 05 04 21 50 293  5.5  6.4  0.40  3.13  3.04 287 1007.8   4.1   1.5 999.0 99.0 99.00
2018 05 04 22 50 275  5.7  6.4  0.49  3.57  3.21 293 1008.0   4.4   1.5 999.0 99.0 99.00
2018 05 04 23 50 247  5.2  5.7  0.51  4.00  3.37 292 1008.1   3.9   1.5 999.0 99.0 99.00
2018 05 05 00 50 263  6.5  7.2  0.55  4.17  3.50 284 1008.2   5.1   1.4 999.0 99.0 99.00
2018 05 05 01 50 257  5.7  6.2  0.51  4.35  3.45 286 1009.2   4.3   1.4 999.0 99.0 99.00
2018 05 05 02 50 292  6.7  7.5  0.46  4.17  3.22 285 1009.6   5.0   1.4 999.0 99.0 99.00
2018 05 05 03 50 300  4.1  4.8  0.45  3.70  3.23 285 1010.2   3.7   1.3 999.0 99.0 99.00
2018 05 05 04 50 316  4.3  5.5  0.44  4.00  3.18 290 1010.7   3.8   1.3 999.0 99.0 99.00
2018 05 05 05 50 356  2.1  3.1  0.48  4.17  3.44 290 1010.9   3.5   1.3 999.0 99.0 99.00
2018 05 05 06 50 282  1.6  2.2  0.50  4.35  3.60 289 1010.6   3.6   1.3 999.0 99.0 99.00
2018 05 05 07 50 284  1.1  1.5  0.47  4.17  3.58 287 1010.5   3.9   1.2 999.0 99.0 99.00
2018 05 05 08 50 282  3.6  4.1  0.46  4.17  3.62 288 1011.1   4.2   1.2 999.0 99.0 99.00
2018 05 05 09 50 296  6.5  7.7  0.40  4.17  3.26 292 1011.4   3.9   1.2 999.0 99.0 99.00
2018 05 05 10 50 326  6.3  7.5  0.45  3.23  3.15 281 1012.1   3.4   1.2 999.0 99.0 99.00
2018 05 05 11 50 344  6.6  8.2  0.49  3.57  3.23 278 1013.5   3.0   1.2 999.0 99.0 99.00
2018 05 05 12 50 345  4.7  5.4  0.45  3.57  3.23 275 1014.7   2.6   1.3 999.0 99.0 99.00
2018 05 05 13 50 334  5.0  5.6  0.44  3.70  3.20 275 1015.7   2.8   1.3 999.0 99.0 99.00
