#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 03 16 11 50 325  3.5  6.7  0.01 99.00  9.27 999  997.6   2.6   2.0 999.0 99.0 99.00
2016 03 16 12 50 330  3.4  5.5 99.00 99.00 99.00 999  997.1   2.8   2.1 999.0 99.0 99.00
2016 03 16 13 50 326  4.7  7.9  0.01 99.00  8.18 999  996.5   2.9   2.2 999.0 99.0 99.00
2016 03 16 14 50 339  3.5  5.7  0.01 99.00  8.37 999  996.9   2.8   2.3 999.0 99.0 99.00
2016 03 16 15 50 332  3.1  5.4  0.01 99.00  8.55 999  997.4   2.5   2.2 999.0 99.0 99.00
2016 03 16 16 50 331  4.0  7.2  0.01 99.00  7.42 999  997.7   2.7   2.2 999.0 99.0 99.00
2016 03 16 17 50 348  2.2  3.8  0.01 99.00  7.00 999  998.1   3.1   2.3 999.0 99.0 99.00
2016 03 16 18 50 333  2.1  4.0 99.00 99.00 99.00 999  998.6   3.5   2.5 999.0 99.0 99.00
2016 03 16 19 50 316  0.5  1.5  0.01 99.00  8.01 999  999.1   3.3   2.6 999.0 99.0 99.00
2016 03 16 20 50 201  3.6  4.5  0.01 99.00  8.76 999  999.9   1.5   2.5 999.0 99.0 99.00
2016 03 16 21 50 174  0.1  0.3  0.02 99.00  9.61 999 1000.5   0.5   2.2 999.0 99.0 99.00
2016 03 16 22 50 174  0.0  0.0  0.01 99.00  7.76 999 1001.1   0.3   2.0 999.0 99.0 99.00
2016 03 16 23 50 174  0.0  0.0  0.01 99.00  7.70 999 1001.8   0.4   1.9 999.0 99.0 99.00
2016 03 17 00 50 174  0.0  0.8 99.00 99.00 99.00 999 1002.0   0.7   1.7 999.0 99.0 99.00
2016 03 17 01 50 358  0.5  1.3  0.01 99.00  8.51 999 1002.6   0.7   1.6 999.0 99.0 99.00
2016 03 17 02 50  24  0.1  0.4  0.01 99.00  7.86 999 1002.7   0.6   1.4 999.0 99.0 99.00
2016 03 17 03 50  75  0.4  1.0  0.01 99.00  8.39 999 1002.7   0.5   1.3 999.0 99.0 99.00
2016 03 17 04 50  53  0.7  1.5  0.01 99.00  8.48 999 1003.0   0.1   1.1 999.0 99.0 99.00
2016 03 17 05 50  66  0.6  1.9  0.02 99.00 10.64 999 1003.1  -0.1   0.9 999.0 99.0 99.00
2016 03 17 06 50 174  0.0  0.0  0.01 99.00  8.44 999 1003.3  -0.4   0.7 999.0 99.0 99.00
2016 03 17 07 50 174  0.0  0.0  0.01 99.00  7.67 999 1003.7  -0.5   0.5 999.0 99.0 99.00
2016 03 17 08 50 174  0.0  0.0  0.01 99.00  6.44 999 1004.1  -0.8   0.4 999.0 99.0 99.00
2016 03 17 09 50 174  0.0  0.0  0.01 99.00  6.99 999 1004.5  -0.8   0.4 999.0 99.0 99.00
2016 03 17 10 50 174  0.0  0.0  0.01 99.00  7.79 999 1005.0  -0.7   0.3 999.0 99.0 99.00
2016 03 17 11 50 174  0.0  0.0  0.01 99.00  7.36 999 1005.6  -0.9   0.3 999.0 99.0 99.00
2016 03 17 12 50 174  0.0  0.0 99.00 99.00 99.00 999 1006.6  -0.8   0.2 999.0 99.0 99.00
2016 03 17 13 50 174  0.0  0.0 99.00 99.00 99.00 999 1007.1  -0.7   0.2 999.0 99.0 99.00
2016 03 17 14 50 174  0.0  0.0  0.01 99.00  8.48 999 1007.8  -0.3   0.2 999.0 99.0 99.00
2016 03 17 15 50 174  0.0  0.0  0.01 99.00  9.46 999 1008.5  -0.2   0.1 999.0 99.0 99.00
2016 03 17 16 50  52  0.2  1.3  0.01 99.00  6.98 999 1009.3   0.3   0.1 999.0 99.0 99.00
2016 03 17 17 50  52  1.4  3.2 99.00 99.00 99.00 999 1010.2   0.1   0.1 999.0 99.0 99.00
2016 03 17 18 50  50  1.6  3.4  0.01 99.00  8.44 999 1010.7   0.0   0.2 999.0 99.0 99.00
2016 03 17 19 50  55  1.5  3.5  0.01 99.00  7.69 999 1011.2   0.2   0.4 999.0 99.0 99.00
2016 03 17 20 50  46  2.2  4.3 99.00 99.00 99.00 999 1012.1  -0.2   0.4 999.0 99.0 99.00
2016 03 17 21 50  42  1.5  3.6 99.00 99.00 99.00 999 1012.7  -0.1   0.5 999.0 99.0 99.00
2016 03 17 22 50  45  2.2  3.9  0.01 99.00  8.45 999 1013.8  -0.1   0.4 999.0 99.0 99.00
2016 03 17 23 50  47  2.5  4.5 99.00 99.00 99.00 999 1014.8  -0.6   0.3 999.0 99.0 99.00
2016 03 18 00 50  54  2.2  4.5  0.01 99.00  8.67 999 1015.8  -0.7   0.1 999.0 99.0 99.00
2016 03 18 01 50  54  1.7  4.2  0.01 99.00  6.50 999 1016.6  -0.8  -0.1 999.0 99.0 99.00
2016 03 18 02 50  21  1.8  3.9  0.02 99.00  9.20 999 1017.0  -0.9  -0.1 999.0 99.0 99.00
2016 03 18 03 50  20  1.2  3.3 99.00 99.00 99.00 999 1017.3  -0.9  -0.2 999.0 99.0 99.00
2016 03 18 04 50   7  0.6  1.3  0.01 99.00  8.92 999 1017.6  -0.6  -0.1 999.0 99.0 99.00
2016 03 18 05 50 360  0.7  1.6  0.01 99.00  7.83 999 1017.9  -0.5  -0.2 999.0 99.0 99.00
2016 03 18 06 50 360  1.4  2.8 99.00 99.00 99.00 999 1018.4  -0.5  -0.2 999.0 99.0 99.00
2016 03 18 07 50  11  1.5  3.3 99.00 99.00 99.00 999 1018.6  -0.5  -0.3 999.0 99.0 99.00
2016 03 18 08 50  15  2.5  5.6  0.01 99.00  8.81 999 1018.9  -0.4  -0.3 999.0 99.0 99.00
2016 03 18 09 50  44  4.5  8.4  0.01 99.00  7.75 999 1019.3   0.1  -0.3 999.0 99.0 99.00
2016 03 18 10 50  44  4.2  7.3  0.01 99.00  7.43 999 1020.4  -0.4  -0.3 999.0 99.0 99.00
2016 03 18 11 50  36  4.9  8.0  0.01 99.00  7.49 999 1021.1  -0.9 999.0 999.0 99.0 99.00
2016 03 18 12 50  36  5.3  8.2  0.01 99.00  8.20 999 1021.7  -1.2 999.0 999.0 99.0 99.00
2016 03 18 13 50  37  4.5  7.7  0.02 99.00  9.55 999 1022.3  -1.5 999.0 999.0 99.0 99.00
2016 03 18 14 50  42  4.6  8.6  0.01 99.00  7.39 999 1022.9  -1.8 999.0 999.0 99.0 99.00
2016 03 18 15 50  36  4.7  7.5 99.00 99.00 99.00 999 1023.7  -2.0 999.0 999.0 99.0 99.00
2016 03 18 16 50  36  4.9  7.7  0.01 99.00  8.53 999 1024.0  -2.0 999.0 999.0 99.0 99.00
2016 03 18 17 50  32  3.5  6.9 99.00 99.00 99.00 999 1024.4  -1.9 999.0 999.0 99.0 99.00
2016 03 18 18 50  39  4.8  7.7  0.01 99.00  8.70 999 1024.7  -2.0 999.0 999.0 99.0 99.00
2016 03 18 19 50  34  5.2  8.3  0.01 99.00  6.76 999 1024.7  -2.4 999.0 999.0 99.0 99.00
2016 03 18 20 50  41  3.9  8.4  0.02 99.00 10.04 999 1024.9  -2.2 999.0 999.0 99.0 99.00
2016 03 18 21 50  42  3.6  6.3  0.01 99.00  6.89 999 1025.3  -2.6 999.0 999.0 99.0 99.00
2016 03 18 22 50  50  3.7  7.3  0.02 99.00  9.77 999 1025.8  -3.0 999.0 999.0 99.0 99.00
2016 03 18 23 50  53  3.2  6.4  0.01 99.00  7.32 999 1025.9  -3.0 999.0 999.0 99.0 99.00
2016 03 19 00 50  42  3.1  5.6  0.01 99.00  8.14 999 1026.1  -2.8 999.0 999.0 99.0 99.00
2016 03 19 01 50  54  2.8  5.8  0.01 99.00  6.15 999 1026.2  -2.5 999.0 999.0 99.0 99.00
2016 03 19 02 50  51  2.5  4.9  0.01 99.00  8.57 999 1026.1  -1.9 999.0 999.0 99.0 99.00
2016 03 19 03 50  32  2.7  5.0  0.01 99.00  7.07 999 1025.8  -2.4 999.0 999.0 99.0 99.00
2016 03 19 04 50  40  2.1  4.8  0.02 99.00 10.55 999 1025.7  -2.4 999.0 999.0 99.0 99.00
2016 03 19 05 50  80  3.0  6.0  0.01 99.00  8.64 999 1025.7  -2.0 999.0 999.0 99.0 99.00
2016 03 19 06 50  78  2.6  5.1  0.01 99.00  7.36 999 1025.7  -2.0 999.0 999.0 99.0 99.00
2016 03 19 07 50  68  2.3  5.3  0.01 99.00  8.83 999 1025.7  -2.0 999.0 999.0 99.0 99.00
2016 03 19 08 50  77  2.9  5.9 99.00 99.00 99.00 999 1026.1  -2.9 999.0 999.0 99.0 99.00
2016 03 19 09 50  75  2.3  4.5  0.02 99.00  9.89 999 1026.1  -2.6 999.0 999.0 99.0 99.00
2016 03 19 10 50  77  2.1  5.1  0.01 99.00  7.66 999 1026.3  -2.3 999.0 999.0 99.0 99.00
2016 03 19 11 50  66  1.8  4.2  0.01 99.00  6.92 999 1026.6  -2.0 999.0 999.0 99.0 99.00
