x, y
9.82271701132111, 3.7150104651805003
10.663162722266236, 3.8676837769269823
11.97636039798089, 4.427479448924745
12.869337222003615, 4.325699829522826
12.501639468266752, 4.9363853112215486
13.342089186773144, 5.2162850885422305
15.075507714179729, 4.910940406371068
14.130007792201937, 4.910940406371068
15.968484538202453, 5.13994843266899
16.913984460180245, 5.089058622968031
16.441232495410716, 5.419846268667872
14.340116214267269, 5.801525665390473
13.762310038465074, 6.310431527687276
12.396585257234086, 6.972008760408761
12.396585257234086, 6.972008760408761
13.131976757146546, 6.81933738998408
14.340116214267269, 7.659032839302525
15.022980608663396, 7.2519085377294425
15.758372108575855, 6.513994649134719
16.54629071400465, 6.335876432537757
15.915953425124854, 5.903307226114195
17.596848854576372, 5.750635855689514
18.437294565521498, 5.801525665390473
18.33224035448883, 6.1577601572625955
16.966511565696578, 7.022900511431521
17.386736424949774, 7.455469717855084
16.388705389894383, 7.379135003303643
18.122127924862234, 7.837149114577685
18.75246120618076, 7.353688157131362
19.803019346752485, 5.470738019690632
20.328298417038347, 5.801525665390473
19.120158959917624, 6.259541717986317
20.22324420600568, 6.183205062113076
21.168744127983473, 6.335876432537757
21.273802346577405, 5.801525665390473
22.061720952006198, 5.496182924541112
19.85554645226882, 7.379135003303643
20.170717100489348, 7.760814400026246
21.221275241061072, 7.913485770450927
22.797112451918657, 7.811704209727206
20.748523276291543, 7.150126977005722
22.37688759266546, 6.84478229483456
23.164806198094254, 7.124682072155242
24.110310127633312, 6.9465638555582805
24.898228733062105, 7.201016786706682
22.534472916775727, 6.132315252412116
23.05975198706159, 6.412213088410997
23.690085268380116, 6.106870347561636
24.47800387380891, 5.877862321263715
24.898228733062105, 6.310431527687276
25.94878687363383, 6.437657993261477
26.684174365985022, 6.7938924851336
24.372949662776243, 7.811704209727206
24.215364338665978, 8.269720262323048
25.2659224792377, 8.244273416150767
25.2659224792377, 7.811704209727206
26.15889529569916, 7.760814400026246
26.999345014205552, 7.964375580151886
25.94878687363383, 9.058523960618734
27.31450764730355, 9.287531986916655
28.942875971238735, 9.92366431478766
30.78135271723925, 10.890584288358504
32.8299378853051, 11.424935055505786
31.779379744733376, 9.440203357341336
31.149046463414848, 8.931297495044532
29.520686154602195, 9.007632209595972
28.049903154777276, 8.57506300317241
29.205515506381666, 8.015267331174648
30.098488322843124, 7.7099226490034845
30.25607364695339, 7.277353442579923
29.36310083049193, 7.2519085377294425
28.52265111198554, 6.89567404585732
32.61982946323977, 7.073790321132481
31.831910857810975, 7.786259304876726
32.19960460398657, 8.371499881724969
33.250162744558295, 8.778626124619851
32.724883674272434, 9.033079055768253
34.143135561019754, 7.480914622705563
33.40774806866856, 7.659032839302525
35.036116392603745, 8.244273416150767
35.98161230702027, 8.727734373597091
35.036116392603745, 9.898217468615378
34.19566667409735, 10.27989686533798
34.19566667409735, 11.272263685081105
35.298755927746676, 11.170482124357385
36.454368279351065, 10.992365849082224
37.662511744033054, 11.145037219506905
36.76953091244906, 10.2544519604875
37.71503484198812, 10.2544519604875
38.60800765844958, 10.05089078036186
38.60800765844958, 10.458015081934942
39.86868223620917, 11.195928970529666
41.076825700891156, 11.399490150655307
42.70518600970381, 11.323155436103868
41.75968208016475, 10.10178059006282
43.703221052320465, 10.559796642658663
44.75377919289219, 9.694656288489737
36.03414342009787, 13.638676721289961
35.613918560844674, 14.198472393287723
38.818124095637444, 14.656488445883566
37.97767437713105, 16.259540747325413
41.49704254502182, 17.48091559336646
40.236375982384764, 18.77862515395895
42.39002337660581, 17.608142058940665
44.38607743159406, 18.70229043940751
46.48719371273751, 17.760813429365346
43.965860587463396, 15.979642911326534
46.277085290672176, 18.829516904981713
48.325670458738024, 19.287531016255752
48.325670458738024, 19.872773534425797
50.16414720473854, 20.865139383508023
50.6894262750244, 18.39694575723635
52.73801945821278, 19.770991973702078
53.63099227467424, 20.2544529311484
54.681550415245965, 20.2544529311484
51.845046641751324, 21.959286793313968
54.681550415245965, 23.816793967226022
56.62508137227915, 24.198473363948622
56.52002716124648, 23.256997324567358
58.25344969621433, 23.7150124065023
58.3059727941694, 23.078880078631297
59.67170158296165, 25.49618292454111
60.40708907531285, 26.055979567199774
59.934341118104584, 26.59033033434706
61.8253489771827, 25.08905862296803
62.61326758261149, 25.80152663605137
64.08404256731387, 26.132315252412113
65.50230246918373, 25.82697154090185
66.92055435593106, 24.885495501520587
71.59553487542621, 20.48345998678542
63.61129461010562, 23.155215763843636
64.97702339889787, 23.358777914630178
69.86211234045835, 26.081424472050255
68.23375203164571, 28.193383606449807
